Station Name;Channel Name;Channel Nr;Date Time;Value;Status
WLT-02;Vlaga 05;128;1.9.2017 19:00;23,2;0
WLT-02;Vlaga 06;129;1.9.2017 19:00;24,4;0
WLT-03;Vlaga 07;127;1.9.2017 19:00;29,2;0
WLT-03;Vlaga 08;128;1.9.2017 19:00;30,6;0
WLT-03;Vlaga 09;129;1.9.2017 19:00;24,4;0
WLT-04;Vlaga 10;127;1.9.2017 19:00;28,1;0
WLT-04;Vlaga 11;128;1.9.2017 19:00;29,2;0
WLT-04;Vlaga 12;129;1.9.2017 19:00;31,4;0
WLT-05;Vlaga 13;127;1.9.2017 19:00;36,7;0
WLT-05;Vlaga 14;128;1.9.2017 19:00;38,1;0
WLT-05;Vlaga 15;129;1.9.2017 19:00;36,2;0
WLT-06;Vlaga 16;127;1.9.2017 19:00;35;0
WLT-06;Vlaga 17;128;1.9.2017 19:00;33;0
WLT-06;Vlaga 18;129;1.9.2017 19:00;34,7;0
WLT-01;Vlaga 01;127;1.9.2017 20:00;29,2;0
WLT-01;Vlaga 02;128;1.9.2017 20:00;30,2;0
WLT-01;Vlaga 03;129;1.9.2017 20:00;28;0
WLT-02;Vlaga 04;127;1.9.2017 20:00;27,6;0
WLT-02;Vlaga 05;128;1.9.2017 20:00;23,1;0
WLT-02;Vlaga 06;129;1.9.2017 20:00;24,5;0
WLT-03;Vlaga 07;127;1.9.2017 20:00;29,3;0
WLT-03;Vlaga 08;128;1.9.2017 20:00;30,6;0
WLT-03;Vlaga 09;129;1.9.2017 20:00;24,3;0
WLT-04;Vlaga 10;127;1.9.2017 20:00;28,1;0
WLT-04;Vlaga 11;128;1.9.2017 20:00;29,2;0
WLT-04;Vlaga 12;129;1.9.2017 20:00;31,4;0
WLT-05;Vlaga 13;127;1.9.2017 20:00;33,6;0
WLT-05;Vlaga 14;128;1.9.2017 20:00;38,1;0
WLT-05;Vlaga 15;129;1.9.2017 20:00;36,2;0
WLT-06;Vlaga 16;127;1.9.2017 20:00;32;0
WLT-06;Vlaga 17;128;1.9.2017 20:00;33;0
WLT-06;Vlaga 18;129;1.9.2017 20:00;34,7;0
WLT-01;Vlaga 01;127;1.9.2017 21:00;29,4;0
WLT-01;Vlaga 02;128;1.9.2017 21:00;30,3;0
WLT-01;Vlaga 03;129;1.9.2017 21:00;28;0
WLT-02;Vlaga 04;127;1.9.2017 21:00;27,6;0
WLT-02;Vlaga 05;128;1.9.2017 21:00;23,1;0
WLT-02;Vlaga 06;129;1.9.2017 21:00;24,6;0
WLT-03;Vlaga 07;127;1.9.2017 21:00;29,4;0
WLT-03;Vlaga 08;128;1.9.2017 21:00;30,6;0
WLT-03;Vlaga 09;129;1.9.2017 21:00;24,1;0
WLT-04;Vlaga 10;127;1.9.2017 21:00;31,5;0
WLT-04;Vlaga 11;128;1.9.2017 21:00;29,3;0
WLT-04;Vlaga 12;129;1.9.2017 21:00;31,5;0
WLT-05;Vlaga 13;127;1.9.2017 21:00;33,6;0
WLT-05;Vlaga 14;128;1.9.2017 21:00;38,1;0
WLT-05;Vlaga 15;129;1.9.2017 21:00;36,2;0
WLT-06;Vlaga 16;127;1.9.2017 21:00;32,1;0
WLT-06;Vlaga 17;128;1.9.2017 21:00;33,1;0
WLT-06;Vlaga 18;129;1.9.2017 21:00;31,3;0
WLT-01;Vlaga 01;127;1.9.2017 22:00;29,4;0
WLT-01;Vlaga 02;128;1.9.2017 22:00;30,2;0
WLT-01;Vlaga 03;129;1.9.2017 22:00;28,1;0
WLT-02;Vlaga 04;127;1.9.2017 22:00;27,6;0
WLT-02;Vlaga 05;128;1.9.2017 22:00;23;0
WLT-02;Vlaga 06;129;1.9.2017 22:00;24,7;0
WLT-03;Vlaga 07;127;1.9.2017 22:00;29,4;0
WLT-03;Vlaga 08;128;1.9.2017 22:00;30,7;0
WLT-03;Vlaga 09;129;1.9.2017 22:00;24,1;0
WLT-04;Vlaga 10;127;1.9.2017 22:00;31,5;0
WLT-04;Vlaga 11;128;1.9.2017 22:00;29,4;0
WLT-04;Vlaga 12;129;1.9.2017 22:00;31,5;0
WLT-05;Vlaga 13;127;1.9.2017 22:00;33,6;0
WLT-05;Vlaga 14;128;1.9.2017 22:00;37,9;0
WLT-05;Vlaga 15;129;1.9.2017 22:00;32,8;0
WLT-06;Vlaga 16;127;1.9.2017 22:00;32,2;0
WLT-06;Vlaga 17;128;1.9.2017 22:00;33;0
WLT-06;Vlaga 18;129;1.9.2017 22:00;31,3;0
WLT-01;Vlaga 01;127;1.9.2017 23:00;29,4;0
WLT-01;Vlaga 02;128;1.9.2017 23:00;30,2;0
WLT-01;Vlaga 03;129;1.9.2017 23:00;28,1;0
WLT-02;Vlaga 04;127;1.9.2017 23:00;27,6;0
WLT-02;Vlaga 05;128;1.9.2017 23:00;22,9;0
WLT-02;Vlaga 06;129;1.9.2017 23:00;24,7;0
